SYMPTOMS,REASON,SUB_COMMODITY,BusinessSegment,ProductCategory,ProductGroup,FamilyGroup,FormFactor,Supplier,Family,ProcessorSupplier,ProcessorSocketCount,REGION,CASE_COUNTRY,COMMODITY
Blue screen,System shuts down,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,HP,DL388 Gen9,Intel,2,AP,China Peoples Republic Of,Non SystemBoard Issue
blue screen,Blue/Red/Purple/black screen,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,China Peoples Republic Of,Non SystemBoard Issue
Blue screen,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,China Peoples Republic Of,Non SystemBoard Issue
OS did not boot after install/update,Slow or degraded performance,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AM,Canada,Non SystemBoard Issue
OS error message(s),No boot/No Video,Windows,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AM,Canada,Non SystemBoard Issue
OS error caused system to reboot/restart,FW/SW/Driver load or update issue,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AM,Mexico,Non SystemBoard Issue
OS error message(s),Blue/Red/Purple/black screen,VMWare,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS does not boot (BIOS completes boot),No boot/No Video,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,ML150,Tower,Wistron,ML150 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS hang/unresponsive,No boot/No Video,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS error caused system to reboot/restart,System reboots,Windows,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AP,India,Non SystemBoard Issue
OS does not boot (BIOS completes boot),No boot/No Video,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,EMEA,United Kingdom,Non SystemBoard Issue
OS error message(s),Connectivity issue and or specific Port issue,VMWare,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,EMEA,France,Non SystemBoard Issue
BSOD,System shuts down,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,EMEA,Sweden,Non SystemBoard Issue
OS hang/unresponsive,No boot/No Video,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,EMEA,Italy,Non SystemBoard Issue
Windows bug check error,No boot/No Video,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,EMEA,France,Non SystemBoard Issue
Windows bug check error,Blue/Red/Purple/black screen,Windows,Enterprise,Blades,MV-Blades-2P,WS460,Blades,FoxConn,WS460c Gen9,Intel,2,AP,Japan,Non SystemBoard Issue
OS did not boot after install/update,No boot/No Video,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS error message(s),Hangs,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,ML150,Tower,Wistron,ML150 Gen9,Intel,2,AP,India,Non SystemBoard Issue
BSOD,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,Korea Republic of (South),Non SystemBoard Issue
time offset ,Configuration Issue,ROM-UEFI,Rack & Tower,Rack & Tower,SY-Core 2P,DL80,Rack,H3C,DL80 Gen9,Intel,2,AP,India,Non SystemBoard Issue
OS does not boot (BIOS completes boot),No boot/No Video,Missing Data,Rack & Tower,Rack & Tower,SY-Core 2P,DL180,Rack,Inventec,DL180 Gen9,Intel,2,AP,India,Non SystemBoard Issue
OS does not boot (BIOS completes boot),No boot/No Video,Linux,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS error caused system to reboot/restart,System reboots,Windows,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AP,India,Non SystemBoard Issue
Windows bug check error,Hangs,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,India,Non SystemBoard Issue
don't work,System reboots,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,EMEA,Israel,Non SystemBoard Issue
OS does not boot (BIOS completes boot),No boot/No Video,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AM,Canada,Non SystemBoard Issue
server is not booting from it's local disks,No boot/No Video,VMWare,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS error message(s),Hangs,Windows,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AP,India,Non SystemBoard Issue
OS error message(s),Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,Singapore,Non SystemBoard Issue
OS does not boot (BIOS completes boot),No boot/No Video,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL180,Rack,Inventec,DL180 Gen9,Intel,2,AP,India,Non SystemBoard Issue
OS error caused system to reboot/restart,System reboots,MULTIPLE PARTS,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS does not boot (BIOS completes boot),No boot/No Video,VMWare,Rack & Tower,Rack & Tower,SY-Core 2P,DL180,Rack,Inventec,DL180 Gen9,Intel,2,AP,India,Non SystemBoard Issue
time offset ,Reason provided but not in list,ROM-Legacy,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,India,Non SystemBoard Issue
OS does not boot (BIOS completes boot),No boot/No Video,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL60,Rack,H3C,DL60 Gen9,Intel,2,AP,Singapore,Non SystemBoard Issue
OS error message(s),Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Singapore,Non SystemBoard Issue
OS hang/unresponsive,Hangs,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Australia,Non SystemBoard Issue
OS does not boot (BIOS completes boot),Hangs,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,China Peoples Republic Of,Non SystemBoard Issue
time offset,Error warning reported by the system,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,AP,India,Non SystemBoard Issue
OS did not boot after install/update,No boot/No Video,VMWare,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS error message(s),System reboots,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Philippines,Non SystemBoard Issue
OS does not boot (BIOS completes boot),Hangs,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Malaysia,Non SystemBoard Issue
OS did not boot after install/update,No boot/No Video,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL160,Rack,Inventec,DL160 Gen9,Intel,2,AP,Thailand,Non SystemBoard Issue
OS did not boot after install/update,No boot/No Video,Missing Data,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Australia,Non SystemBoard Issue
OS error caused system to reboot/restart,System reboots,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,India,Non SystemBoard Issue
OS did not boot after install/update,No boot/No Video,Update/Flash/Smart Component,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Vietnam,Non SystemBoard Issue
Windows bug check error,Hangs,Windows,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AP,India,Non SystemBoard Issue
BSOD,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,Australia,Non SystemBoard Issue
OS hang/unresponsive,System shuts down,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
time offset,Error warning reported by the system,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS error caused system to reboot/restart,System shuts down,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Australia,Non SystemBoard Issue
OS error message(s),System reboots,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Singapore,Non SystemBoard Issue
OS hang/unresponsive,System shuts down,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,AP,India,Non SystemBoard Issue
OS does not boot (BIOS completes boot),No boot/No Video,Linux,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,India,Non SystemBoard Issue
OS did not boot after install/update,Hangs,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AM,Canada,Non SystemBoard Issue
OS hang/unresponsive,No boot/No Video,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS error caused system to reboot/restart,System reboots,Windows,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AP,India,Non SystemBoard Issue
OS error message(s),No boot/No Video,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,Korea Republic of (South),Non SystemBoard Issue
OS error caused system to reboot/restart,System reboots,VMWare,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Thailand,Non SystemBoard Issue
OS error message(s),Hangs,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Korea Republic of (South),Non SystemBoard Issue
OS did not boot after install/update,No boot/No Video,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,India,Non SystemBoard Issue
BSOD,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
BSOD,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Singapore,Non SystemBoard Issue
blue screen ,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,Korea Republic of (South),Non SystemBoard Issue
don't recognize controller,No boot/No Video,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,EMEA,Israel,Non SystemBoard Issue
OS hang/unresponsive,No boot/No Video,Remote Console,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS does not boot (BIOS completes boot),No boot/No Video,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS error caused system to reboot/restart,System reboots,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Singapore,Non SystemBoard Issue
OS error message(s),Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,AP,Singapore,Non SystemBoard Issue
time offset ,Error warning reported by the system,ROM-Legacy,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,India,Non SystemBoard Issue
OS hang/unresponsive,Hangs,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Singapore,Non SystemBoard Issue
Blue screen,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,HP,DL388 Gen9,Intel,2,AP,China Peoples Republic Of,Non SystemBoard Issue
OS error message(s),System reboots,Windows,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Spain,Non SystemBoard Issue
blue screen,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,EMEA,Switzerland,Non SystemBoard Issue
OS did not boot after install/update,No boot/No Video,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,AP,Japan,Non SystemBoard Issue
OS error message(s),No boot/No Video,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,AP,Australia,Non SystemBoard Issue
BSOD,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,HP,DL388 Gen9,Intel,2,AP,Singapore,Non SystemBoard Issue
About Vmware's Advisory 2147325,Blue/Red/Purple/black screen,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Japan,Non SystemBoard Issue
OS error message(s),System shuts down,Missing Data,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,Singapore,Non SystemBoard Issue
OS error message(s),Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Singapore,Non SystemBoard Issue
Blue screen,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,EMEA,United Kingdom,Non SystemBoard Issue
OS does not boot (BIOS completes boot),System shuts down,VMWare,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,AP,Australia,Non SystemBoard Issue
OS error caused system to reboot/restart,System reboots,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,India,Non SystemBoard Issue
OS error caused system to reboot/restart,System reboots,VMWare,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Korea Republic of (South),Non SystemBoard Issue
BSOD,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,AP,Australia,Non SystemBoard Issue
time offset,Hangs,ROM-Legacy,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,India,Non SystemBoard Issue
OS hang/unresponsive,Slow or degraded performance,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS error caused system to reboot/restart,System reboots,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AM,Canada,Non SystemBoard Issue
OS error message(s),Blue/Red/Purple/black screen,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
time offset ,Error warning reported by the system,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AM,Canada,Non SystemBoard Issue
OS error message(s),Error warning reported by the system,VMWare,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AM,Canada,Non SystemBoard Issue
Windows bug check error,Hangs,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL160,Rack,Inventec,DL160 Gen9,Intel,2,AP,Japan,Non SystemBoard Issue
Windows bug check error,System reboots,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Bangladesh,Non SystemBoard Issue
OS error caused system to reboot/restart,System reboots,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL60,Rack,H3C,DL60 Gen9,Intel,2,AP,India,Non SystemBoard Issue
Windows bug check error,System reboots,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Hong Kong,Non SystemBoard Issue
OS error caused system to reboot/restart,System reboots,RUNTIME FAILURES,Rack & Tower,Rack & Tower,SY-Core 2P,DL180,Rack,Inventec,DL180 Gen9,Intel,2,AP,India,Non SystemBoard Issue
time offset,Error warning reported by the system,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,Unknown,Unknown,Non SystemBoard Issue
OS did not boot after install/update,No boot/No Video,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,ML150,Tower,Wistron,ML150 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS error message(s),Hangs,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Singapore,Non SystemBoard Issue
OS error message(s),FW/SW/Driver load or update issue,Linux,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
BSOD,Blue/Red/Purple/black screen,Windows,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,France,Non SystemBoard Issue
OS error message(s),No boot/No Video,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,EMEA,France,Non SystemBoard Issue
OS hang/unresponsive,System reboots,Windows,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Netherlands,Non SystemBoard Issue
OS error message(s),Hangs,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,EMEA,Portugal,Non SystemBoard Issue
blue screen,Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,EMEA,United Kingdom,Non SystemBoard Issue
OS hang/unresponsive,System reboots,Linux,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,EMEA,Greece,Non SystemBoard Issue
OS hang/unresponsive,System shuts down,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS error message(s),Error warning reported by the system,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AM,USA,Non SystemBoard Issue
OS hang/unresponsive,Hangs,VMWare,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,India,Non SystemBoard Issue
time offset,Error warning reported by the system,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,India,Non SystemBoard Issue
time offset,Error warning reported by the system,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,Unknown,Unknown,Non SystemBoard Issue
time offset,Error warning reported by the system,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,Unknown,Unknown,Non SystemBoard Issue
OS error message(s),Blue/Red/Purple/black screen,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,India,Non SystemBoard Issue
